timestamp,  	       id,   decoded, sync_score,snr,llr_sd, n_its
251129_003430_12.4 293       0    5.24    -2.0    1.91    16.0
251129_003430_12.5 350       1    7.43    10.0    3.95     0.0
251129_003430_12.5 352       0    3.81     8.0    3.18     0.0
251129_003430_12.5 348       0    2.84    10.0    3.21     0.0
251129_003430_12.5 351       1    5.97    10.0    3.53     1.0
251129_003430_12.5 349       1    5.78    10.0    3.19     1.0
251129_003430_12.6 334       0    3.20     2.0    1.85     0.0
251129_003430_12.7 326       1    9.87    -4.0    2.03     1.0
251129_003430_12.8 327       1    9.34    -4.0    1.95     7.0
251129_003430_13.5 337       0    7.59     2.0    1.88    45.0
251129_003430_13.6 329       0    3.29    -4.0    1.81     0.0
251129_003430_13.7 189       0    2.64    -1.0    2.34     0.0
251129_003430_13.7 395       0    2.91    -2.0    2.04     0.0
251129_003430_13.7 188       0    3.40    -1.0    2.53     0.0
251129_003430_13.7 353       0    2.40     7.0    3.19     0.0
251129_003430_13.7 396       0    2.55    -2.0    1.82     0.0
251129_003430_13.7 187       0    3.25    -1.0    2.90     0.0
251129_003430_13.7 290       0    3.17    -2.0    1.81     0.0
251129_003430_13.7 190       0    2.51    -1.0    2.94     0.0
251129_003430_13.8 301       0    2.52    12.0    3.54     0.0
251129_003430_13.9 242       0    2.34     8.0    2.33     0.0
